date,reserve_type,currency,value
1990-07-01,Reserve Tranche Position,₹ Crores,
1990-07-01,Reserve Tranche Position,US $ Millions,
1990-07-01,SDRs,SDRs Millions,
1990-06-01,Reserve Tranche Position,₹ Crores,
1990-06-01,Reserve Tranche Position,US $ Millions,
1990-06-01,SDRs,SDRs Millions,
1990-05-01,Reserve Tranche Position,₹ Crores,
1990-05-01,Reserve Tranche Position,US $ Millions,
1990-05-01,SDRs,SDRs Millions,
1990-04-01,Reserve Tranche Position,₹ Crores,
1990-04-01,Reserve Tranche Position,US $ Millions,
1990-04-01,SDRs,SDRs Millions,
1990-03-01,Reserve Tranche Position,₹ Crores,
1990-03-01,Reserve Tranche Position,US $ Millions,
1990-03-01,SDRs,SDRs Millions,
2001-08-01,SDRs,US $ Millions,4.0
2001-08-01,Total,₹ Crores,213865.0
2001-08-01,Total,US $ Millions,45358.0
2001-07-01,Foreign Currency Assets,₹ Crores,193122.0
2001-07-01,Foreign Currency Assets,US $ Millions,40950.0
2001-07-01,Gold,₹ Crores,13070.0
2001-07-01,Gold,US $ Millions,2771.0
2001-07-01,SDRs,₹ Crores,44.0
2001-07-01,SDRs,US $ Millions,9.0
2001-07-01,Total,₹ Crores,206236.0
2001-07-01,Total,US $ Millions,43730.0
2001-06-01,Foreign Currency Assets,₹ Crores,191226.0
2001-06-01,Foreign Currency Assets,US $ Millions,40652.0
2001-06-01,Gold,₹ Crores,13163.0
2001-06-01,Gold,US $ Millions,2798.0
2001-06-01,SDRs,₹ Crores,20.0
2001-06-01,SDRs,US $ Millions,4.0
2001-06-01,Total,₹ Crores,204409.0
2001-06-01,Total,US $ Millions,43454.0
2001-05-01,Foreign Currency Assets,₹ Crores,188762.0
2001-05-01,Foreign Currency Assets,US $ Millions,40171.0
2001-05-01,Gold,₹ Crores,13233.0
